$ID,$ID_NAME,Bonus,Description,Icon,Link_Collections,Link_Cubes,Link_Items,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,Weight
642011,COLLECT_111,"[[""Dark Property Resistance"", 8]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[""644042"", ""644043"", ""644009"", ""644067""]",None,None,None,None,None,Lv1 Card Collection,1,0.0,0.0,FFTF,5,0.0
642012,COLLECT_112,"[[""Defense"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[""644031"", ""644032"", ""644029"", ""644068"", ""644033""]",None,None,None,None,None,Lv2 Card Collection,1,0.0,0.0,FFTF,5,0.0
642013,COLLECT_113,"[[""Magic Defense"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[""644007"", ""644063"", ""644048"", ""644015"", ""644053"", ""644093""]",None,None,None,None,None,Lv3 Card Collection,1,0.0,0.0,FFTF,5,0.0
642014,COLLECT_114,"[[""CON"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[""644024"", ""644045"", ""644059"", ""644022""]",None,None,None,None,None,Lv4 Card Collection,1,0.0,0.0,FFTF,5,0.0
642015,COLLECT_115,"[[""INT"", 1]]","A collection of five necklaces. Each necklace is inscribed with one of the five topics of a pilgrim's path. Made by Maven, the founder of the Great Cathedral. Right-click to register.",icon_item_jewelrybox,None,None,"[581132, 581133, 581134, 581135, 581136]",None,None,None,None,None,Necklace of the Five Sins Collection,1,0.0,0.0,FFFF,5,0.0
642016,COLLECT_116,"[[""Maximum HP"", 125]]",A collection of the conflict between the demons and the goddesses in Goddess Laima's revelation.{nl}Right-click to register.,icon_item_holyark,None,None,"[650710, 650742, 650830]",None,None,None,None,None,Revelation: Opposing Piece Collection,1,0.0,0.0,FFFF,5,0.0
642017,COLLECT_117,"[[""Weight Limit BM"", 100]]",A collection of one of the world's hidden secret in Goddess Laima's revelation.{nl}Right-click to register.,icon_item_holyark,None,None,"[650824, 653041, 650856]",None,None,None,None,None,Revelation: Inside Piece Collection,1,0.0,0.0,FFFF,5,0.0
642018,COLLECT_118,"[[""Physical Attack"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645117, 628054, 645118, 645024, 645120, 645121, 645267]",None,None,None,None,None,Collection: West Siauliai Woods,1,0.0,0.0,FFFF,5,0.0
642019,COLLECT_119,"[[""Magic Attack"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645122, 645269, 640072, 645124, 645125]",None,None,None,None,None,Collection: East Siauliai Woods,1,0.0,0.0,FFFF,5,0.0
642020,COLLECT_120,"[[""Defense"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645117, 645126, 645129, 601123]",None,None,None,None,None,Collection: Miners' Village,1,0.0,0.0,FFFF,5,0.0
642021,COLLECT_121,"[[""Magic Defense"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[640025, 645129, 581123, 645235, 645286, 645130]",None,None,None,None,None,Collection: Crystal Mine 1F,1,0.0,0.0,FFFF,5,0.0
642022,COLLECT_122,"[[""Maximum HP"", 150]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645287, 645288, 645132, 645129, 645222]",None,None,None,None,None,Collection: Crystal Mine 2F,1,0.0,0.0,FFFF,5,0.0
642023,COLLECT_123,"[[""Maximum SP"", 30]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645131, 645292, 645129, 645293]",None,None,None,None,None,Collection: Crystal Mine 3F,1,0.0,0.0,FFFF,5,0.0
642024,COLLECT_124,"[[""HP Recovery"", 10]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645135, 645134, 645352, 502123, 512123, 522123, 532123]",None,None,None,None,None,Collection: Srautas Gorge,1,0.0,0.0,FFFF,5,0.0
642025,COLLECT_125,"[[""SP Recovery"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645300, 645134, 142101, 645307]",None,None,None,None,None,Collection: Gele Plateau,1,0.0,0.0,FFFF,5,0.0
642026,COLLECT_126,"[[""Critical Magic Attack"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645347, 645138, 645306, 645348, 645412, 645346, 645297, 628018]",None,None,None,None,None,Collection: Nefritas Cliff,1,0.0,0.0,FFFF,5,0.0
642027,COLLECT_127,"[[""Physical Attack"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645303, 645134, 645310, 645231]",None,None,None,None,None,Collection: Tenet Garden,1,0.0,0.0,FFFF,5,0.0
642028,COLLECT_128,"[[""Magic Attack"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645461, 645228, 645229, 645380, 645151]",None,None,None,None,None,Collection: Veja Ravine,1,0.0,0.0,FFFF,5,0.0
642029,COLLECT_129,"[[""Defense"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645341, 645153, 645435, 645357, 645394, 645393]",None,None,None,None,None,Collection: Vieta Gorge,1,0.0,0.0,FFFF,5,0.0
642030,COLLECT_130,"[[""Magic Defense"", 12]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645156, 649201, 645451]",None,None,None,None,None,Collection: Cobalt Forest,1,0.0,0.0,FFFF,5,0.0
642031,COLLECT_131,"[[""Maximum HP"", 70]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[640044, 645403, 601127, 511107]",None,None,None,None,None,Collection: Septyni Glen,1,0.0,0.0,FFFF,5,0.0
642032,COLLECT_132,"[[""Maximum SP"", 20]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645142, 582103, 645333, 645334]",None,None,None,None,None,Collection: Tenet Church B1,1,0.0,0.0,FFFF,5,0.0
642033,COLLECT_133,"[[""HP Recovery"", 10]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645453, 649007, 645330, 645618, 628051]",None,None,None,None,None,Collection: Tenet Church 1F,1,0.0,0.0,FFFF,5,0.0
642034,COLLECT_134,"[[""SP Recovery"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645141, 645320, 645430, 649204]",None,None,None,None,None,Collection: Tenet Church 2F,1,0.0,0.0,FFFF,5,0.0
642035,COLLECT_135,"[[""Accuracy"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645159, 645246, 645413, 645162, 640042, 645160]",None,None,None,None,None,Collection: Gate Route,1,0.0,0.0,FFFF,5,0.0
642036,COLLECT_136,"[[""Evasion"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645161, 645218, 645369, 645219, 645164, 645234]",None,None,None,None,None,Collection: Sirdgela Forest,1,0.0,0.0,FFFF,5,0.0
642037,COLLECT_137,"[[""Critical Rate"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645165, 645163, 645432]",None,None,None,None,None,Collection: Kvailas Forest,1,0.0,0.0,FFFF,5,0.0
642038,COLLECT_138,"[[""Critical Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645187, 645547, 202119, 242111, 121106, 201108]",None,None,None,None,None,Collection: Guards Graveyard,1,0.0,0.0,FFFF,5,0.0
642039,COLLECT_139,"[[""Critical Defense"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645225, 645476, 645171, 645445]",None,None,None,None,None,Collection: Gateway of the Great King,1,0.0,0.0,FFFF,5,0.0
642040,COLLECT_140,"[[""Critical Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645172, 645173, 645420, 628061]",None,None,None,None,None,Collection: Ramstis Ridge,1,0.0,0.0,FFFF,5,0.0
642041,COLLECT_141,"[[""Physical Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645174, 645256, 645446, 601129, 531107, 521111, 531111]",None,None,None,None,None,Collection: Overlong Bridge Valley,1,0.0,0.0,FFFF,5,0.0
642042,COLLECT_142,"[[""Magic Attack"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645175, 645421, 645465, 645464, 649208]",None,None,None,None,None,Collection: Akmens Ridge,1,0.0,0.0,FFFF,5,0.0
642043,COLLECT_143,"[[""Defense"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645176, 645177, 241104, 161109, 141109]",None,None,None,None,None,Collection: Tiltas Valley,1,0.0,0.0,FFFF,5,0.0
642044,COLLECT_144,"[[""Magic Defense"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645565, 645423, 645540, 645392]",None,None,None,None,None,Collection: Gytis Settlement Area,1,0.0,0.0,FFFF,5,0.0
642045,COLLECT_145,"[[""Maximum HP"", 140]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[680114, 685114, 680115, 685115, 680116, 685116, 680117, 685117]",None,None,None,None,None,Collection: Royal Mausoleum Workers Lodge,1,0.0,0.0,FFFF,5,0.0
642046,COLLECT_146,"[[""Maximum SP"", 28]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[680118, 685118, 680119, 685119, 680120, 685120, 680121, 685121]",None,None,None,None,None,Collection: Royal Mausoleum Constructors' Chapel,1,0.0,0.0,FFFF,5,0.0
642047,COLLECT_147,"[[""HP Recovery"", 14]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[649216, 182106, 680122, 685122, 680123, 685123, 680124, 685124]",None,None,None,None,None,Collection: Royal Mausoleum Storage,1,0.0,0.0,FFFF,5,0.0
642048,COLLECT_148,"[[""SP Recovery"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645177, 645364, 645238, 602105]",None,None,None,None,None,Collection: Rukas Plateau,1,0.0,0.0,FFFF,5,0.0
642049,COLLECT_149,"[[""Accuracy"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645177, 628040, 501114, 501113, 182114]",None,None,None,None,None,Collection: King's Plateau,1,0.0,0.0,FFFF,5,0.0
642050,COLLECT_150,"[[""Evasion"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645463, 645392, 251101, 601128, 202116]",None,None,None,None,None,Collection: Zachariel Crossroads,1,0.0,0.0,FFFF,5,0.0
642051,COLLECT_151,"[[""Critical Rate"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645178, 645410, 645221, 645179, 645450]",None,None,None,None,None,Collection: Royal Mausoleum 1F,1,0.0,0.0,FFFF,5,0.0
642052,COLLECT_152,"[[""Critical Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645180, 645220, 645181, 581129, 201110, 241105]",None,None,None,None,None,Collection: Royal Mausoleum 2F,1,0.0,0.0,FFFF,5,0.0
642053,COLLECT_153,"[[""Critical Defense"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645428, 645210, 645181, 531114, 521153, 161110]",None,None,None,None,None,Collection: Royal Mausoleum 3F,1,0.0,0.0,FFFF,5,0.0
642054,COLLECT_154,"[[""Stamina"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645411, 645209, 121108, 531153, 251101]",None,None,None,None,None,Collection: Royal Mausoleum 4F,1,0.0,0.0,FFFF,5,0.0
642055,COLLECT_155,"[[""Critical Magic Attack"", 8]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645402, 645401, 640040, 649205, 645186]",None,None,None,None,None,Collection: Royal Mausoleum 5F,1,0.0,0.0,FFFF,5,0.0
642056,COLLECT_156,"[[""Physical Attack"", 8]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645477, 640072, 162106, 101110, 511113, 582106]",None,None,None,None,None,Collection: Baron Allerno ,1,0.0,0.0,FFFF,5,0.0
642057,COLLECT_157,"[[""Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645438, 645552, 645160, 645547, 521113, 602106]",None,None,None,None,None,Collection: Myrkiti Farm,1,0.0,0.0,FFFF,5,0.0
642058,COLLECT_158,"[[""Defense"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645547, 645573, 645225, 645551, 501115]",None,None,None,None,None,Collection: Aqueduct Bridge Area,1,0.0,0.0,FFFF,5,0.0
642059,COLLECT_159,"[[""Magic Defense"", 15]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645445, 645476, 643740, 643677]",None,None,None,None,None,Collection: Tenants' Farm,1,0.0,0.0,FFFF,5,0.0
642060,COLLECT_160,"[[""Maximum HP"", 70]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645240, 645187, 645462, 645239, 640029]",None,None,None,None,None,Collection: Stele Road,1,0.0,0.0,FFFF,5,0.0
642061,COLLECT_161,"[[""Maximum SP"", 18]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645427, 649200, 640028, 645397, 645396, 649209, 645190]",None,None,None,None,None,Collection: Goddess' Ancient Garden,1,0.0,0.0,FFFF,5,0.0
642062,COLLECT_162,"[[""HP Recovery"", 7]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645191, 645213, 645192, 221113]",None,None,None,None,None,Collection: Escanciu Village,1,0.0,0.0,FFFF,5,0.0
642063,COLLECT_163,"[[""SP Recovery"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645481, 645193, 649203, 645455, 645419, 645194, 628015]",None,None,None,None,None,Collection: Fedimian Suburbs,1,0.0,0.0,FFFF,5,0.0
642064,COLLECT_164,"[[""Accuracy"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[521122, 645614, 521122, 202104, 161130]",None,None,None,None,None,Collection: Crystal Mine Lot 2 - 1F,1,0.0,0.0,FFFF,5,0.0
642065,COLLECT_165,"[[""Evasion"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[531122, 645429, 645615, 645235, 271122, 142104]",None,None,None,None,None,Collection: Crystal Mine Lot 2 - 2F,1,0.0,0.0,FFFF,5,0.0
642066,COLLECT_166,"[[""Critical Rate"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645438, 645539, 645363, 645344, 141130]",None,None,None,None,None,Collection: Entrance of Kateen Forest,1,0.0,0.0,FFFF,5,0.0
642067,COLLECT_167,"[[""Critical Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645437, 645540, 645541, 17033, 30278, 582109]",None,None,None,None,None,Collection: Owl Burial Ground,1,0.0,0.0,FFFF,5,0.0
642068,COLLECT_168,"[[""Critical Defense"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645479, 601132, 645469, 601132]",None,None,None,None,None,Collection: Poslinkis Forest,1,0.0,0.0,FFFF,5,0.0
642069,COLLECT_169,"[[""Stamina"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[111001, 645344, 582108, 18008]",None,None,None,None,None,Collection: Saknis Plains,1,0.0,0.0,FFFF,5,0.0
642070,COLLECT_170,"[[""Critical Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645216, 645381, 645195, 645233, 645388, 645389, 645196, 645431]",None,None,None,None,None,Collection: Mage Tower 1F,1,0.0,0.0,FFFF,5,0.0
642071,COLLECT_171,"[[""Physical Attack"", 8]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645197, 645447, 649208, 649210, 645460, 628036]",None,None,None,None,None,Collection: Mage Tower 2F,1,0.0,0.0,FFFF,5,0.0
642072,COLLECT_172,"[[""Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645199, 645200, 581137, 645443]",None,None,None,None,None,Collection: Mage Tower 3F,1,0.0,0.0,FFFF,5,0.0
642073,COLLECT_173,"[[""Defense"", 12]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645237, 645234, 628058, 645202, 645407, 640054]",None,None,None,None,None,Collection: Mage Tower 4F,1,0.0,0.0,FFFF,5,0.0
642074,COLLECT_174,"[[""Magic Defense"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645204, 645205, 645216, 645381]",None,None,None,None,None,Collection: Mage Tower 5F,1,0.0,0.0,FFFF,5,0.0
642075,COLLECT_175,"[[""Maximum HP"", 105]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645544, 645545, 645546, 122117, 11103, 14054]",None,None,None,None,None,Collection: Dvasia Peak,1,0.0,0.0,FFFF,5,0.0
642076,COLLECT_176,"[[""Maximum SP"", 18]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645547, 645548, 645549, 645550, 645442]",None,None,None,None,None,Collection: Sunset Flag Forest,1,0.0,0.0,FFFF,5,0.0
642077,COLLECT_177,"[[""HP Recovery"", 7]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645551, 645551, 645552, 181124, 241113, 30285]",None,None,None,None,None,Collection: Starving Demon's Way,1,0.0,0.0,FFFF,5,0.0
642078,COLLECT_178,"[[""SP Recovery"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645553, 645395, 645602, 511140, 18010]",None,None,None,None,None,Collection: Pilgrim Path,1,0.0,0.0,FFFF,5,0.0
642079,COLLECT_179,"[[""Accuracy"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645555, 645556, 640131, 252110, 122110]",None,None,None,None,None,Collection: Altar Way,1,0.0,0.0,FFFF,5,0.0
642080,COLLECT_180,"[[""Evasion"", 3]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[643546, 645373, 645429, 645615]",None,None,None,None,None,Collection: Forest of Prayer,1,0.0,0.0,FFFF,5,0.0
642081,COLLECT_181,"[[""Critical Rate"", 2]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645213, 645187, 181125, 34045, 271124]",None,None,None,None,None,Collection: Apsimesti Crossroads,1,0.0,0.0,FFFF,5,0.0
642082,COLLECT_182,"[[""Critical Attack"", 10]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645443, 643569, 645443, 141132, 201131, 17012, 14055]",None,None,None,None,None,Collection: Residence of the Fallen Legwyn Family,1,0.0,0.0,FFFF,5,0.0
642083,COLLECT_183,"[[""Critical Defense"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645560, 645561, 111002, 101132, 251105]",None,None,None,None,None,Collection: Main Building,1,0.0,0.0,FFFF,5,0.0
642084,COLLECT_184,"[[""Stamina"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645429, 645615, 521144, 511144, 121124]",None,None,None,None,None,Collection: Grand Corridor,1,0.0,0.0,FFFF,5,0.0
642085,COLLECT_185,"[[""Weight Limit BM"", 50]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645548, 645564, 645548, 645564, 645548, 645564, 645548, 645564, 645548]",None,None,None,None,None,Collection: Penitence Route,1,0.0,0.0,FFFF,5,0.0
642086,COLLECT_186,"[[""Critical Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645618, 221116, 142108, 643504]",None,None,None,None,None,Collection: Sanctuary,1,0.0,0.0,FFFF,5,0.0
642087,COLLECT_187,"[[""Physical Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645583, 649209, 645584, 601134, 511146]",None,None,None,None,None,Collection: Greene Manor,1,0.0,0.0,FFFF,5,0.0
642088,COLLECT_188,"[[""Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645585, 645586, 521146, 640038]",None,None,None,None,None,Collection: Shaton Farm,1,0.0,0.0,FFFF,5,0.0
642089,COLLECT_189,"[[""Defense"", 9]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645617, 645588, 581139, 531146]",None,None,None,None,None,Collection: Shaton Reservoir,1,0.0,0.0,FFFF,5,0.0
642090,COLLECT_190,"[[""Magic Defense"", 9]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645574, 645575, 645320, 645576, 645559, 18011]",None,None,None,None,None,Collection: Demon Prison District 1,1,0.0,0.0,FFFF,5,0.0
642091,COLLECT_191,"[[""Maximum HP"", 80]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645579, 645601, 531145, 521145, 111003]",None,None,None,None,None,Collection: Demon Prison District 2,1,0.0,0.0,FFFF,5,0.0
642092,COLLECT_192,"[[""Maximum SP"", 18]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645580, 645543, 645581, 645551, 141133]",None,None,None,None,None,Collection: Demon Prison District 3,1,0.0,0.0,FFFF,5,0.0
642093,COLLECT_193,"[[""HP Recovery"", 8]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[643501, 643502, 643501, 643502, 643501, 643502, 643501, 643502, 643501]",None,None,None,None,None,Collection: Demon Prison District 4,1,0.0,0.0,FFFF,5,0.0
642094,COLLECT_194,"[[""SP Recovery"", 4]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645582, 645370, 101133, 680297, 685297]",None,None,None,None,None,Collection: Demon Prison District 5,1,0.0,0.0,FFFF,5,0.0
642095,COLLECT_195,"[[""Accuracy"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645589, 645590, 645591, 645592, 645593, 645591]",None,None,None,None,None,Collection: Dina Bee Farm,1,0.0,0.0,FFFF,5,0.0
642096,COLLECT_196,"[[""Evasion"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645594, 645565, 645595, 645596]",None,None,None,None,None,Collection: Vilna Forest,1,0.0,0.0,FFFF,5,0.0
642097,COLLECT_197,"[[""Critical Rate"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645346, 645418, 645597, 645596, 242107]",None,None,None,None,None,Collection: Uskis Arable Land,1,0.0,0.0,FFFF,5,0.0
642098,COLLECT_198,"[[""Critical Attack"", 10]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645599, 645596, 602109, 111004, 33055]",None,None,None,None,None,Collection: Spring Light Woods,1,0.0,0.0,FFFF,5,0.0
642099,COLLECT_199,"[[""Critical Defense"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645174, 33023, 201132, 161133]",None,None,None,None,None,Collection: 2nd Demon Prison,1,0.0,0.0,FFFF,5,0.0
642100,COLLECT_200,"[[""Stamina"", 1]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[649209, 645614, 501148, 121126, 221117]",None,None,None,None,None,Collection: Nuoridin Falls,1,0.0,0.0,FFFF,5,0.0
642101,COLLECT_201,"[[""Weight Limit BM"", 50]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[649209, 645614, 141134, 241116, 161134]",None,None,None,None,None,Collection: Namu Temple Ruins,1,0.0,0.0,FFFF,5,0.0
642102,COLLECT_202,"[[""Critical Magic Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645481, 645193, 181127, 531148, 521148]",None,None,None,None,None,Collection: Istora Ruins,1,0.0,0.0,FFFF,5,0.0
642103,COLLECT_203,"[[""Physical Attack"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645208, 645413, 201133, 501149, 101134, 301101]",None,None,None,None,None,Collection: Glade Hillroad,1,0.0,0.0,FFFF,5,0.0
642104,COLLECT_204,"[[""Magic Attack"", 8]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[511149, 34021, 271126, 511147]",None,None,None,None,None,Collection: Viltis Forest,1,0.0,0.0,FFFF,5,0.0
642105,COLLECT_205,"[[""Defense"", 9]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645561, 521147, 521149, 252107]",None,None,None,None,None,Collection: Laukyme Swamp,1,0.0,0.0,FFFF,5,0.0
642106,COLLECT_206,"[[""Magic Defense"", 6]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645373, 645373, 645373, 645373, 645373, 645373, 645373, 645373, 645373]",None,None,None,None,None,Collection: Tyla Monastery,1,0.0,0.0,FFFF,5,0.0
642107,COLLECT_207,"[[""Maximum HP"", 80]]",A collection ready to be filled with items. Right-click to register.,icon_item_box,None,None,"[645550, 645611, 30372, 30371, 111005]",None,None,None,None,None,Collection: Roxona Reconstruction Agency West Building,1,0.0,0.0,FFFF,5,0.0
