$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
644048,card_Shnayim,[슬롯 장착 효과] 전기 속성 저항력 +[★*10],icon_item_card_def,033_boss_shnayim,[642013],None,None,None,41241,None,None,None,5,4,쉬나임 카드,500,270,2,3100,0.0,0.0,TTTT,4,1,1.0
644049,card_Confinedion,[슬롯 장착 효과] 찌르기류 방어력 +[★*10],icon_item_card_def,096_boss_confinedion,None,None,None,None,41379,None,None,None,7,0,스콜피오 카드,500,355,8,644,0.0,0.0,TTTT,4,1,1.0
644050,card_Spector_m,[슬롯 장착 효과] 어둠 속성 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,008_boss_spector_m,None,None,None,None,800007,None,None,None,0,1,스펙터 군주 카드,500,210,2,45,0.0,0.0,TTTT,4,5,1.0
644051,card_Throneweaver,[슬롯 장착 효과] 독 속성 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,041_boss_throneweaver,None,None,None,None,800009,None,None,None,7,1,쓰론위버 카드,500,352,6,375,0.0,0.0,TTTT,4,5,1.0
644052,card_Ironbaum,[슬롯 장착 효과] 수면 상태 이상에 걸린 대상에게 주는 대미지[★]% 증가,icon_item_card_atk,060_boss_ironbaum,None,None,None,None,41354,None,None,None,2,4,아이언바움 카드,500,230,2,2108,0.0,0.0,TTTT,4,0,1.0
644053,card_archon,[슬롯 장착 효과] 불 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,095_boss_archon,[642013],None,None,None,800027,None,None,None,2,4,아콘 카드,500,406,2,960,0.0,0.0,TTTT,4,0,1.0
644054,card_Abomination,"[슬롯 장착 효과] 민첩 스텟 +[★/2], 체력 스탯 +[★/2] ",icon_item_card_stat,038_boss_abomination,None,None,None,None,800029,None,None,None,0,1,어보미네이션 카드,500,420,2,1255,0.0,0.0,TTTT,4,4,1.0
644055,card_Unknocker,"[슬롯 장착 효과] 정신 스탯 +[★/2], 체력 스탯 +[★/2]",icon_item_card_stat,040_boss_unknocker,None,None,None,None,800010,None,None,None,0,1,언낙커 카드,500,383,2,782,0.0,0.0,TTTT,4,4,1.0
644056,card_Achat,[슬롯 장착 효과] 전기 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,032_boss_achat,None,None,None,None,41240,None,None,None,5,4,에하트 카드,500,220,2,2403,0.0,0.0,TTTT,4,0,1.0
644057,card_ellaganos,[슬롯 장착 효과] 민첩 스탯 +[★],icon_item_card_stat,037_boss_ellaganos,None,None,None,None,800013,None,None,None,0,1,엘라가노스 카드,500,392,6,1060,0.0,0.0,TTTT,4,4,1.0
644058,card_yekub,[슬롯 장착 효과] 신성 속성 추가 대미지 +[★*10],icon_item_card_util,011_boss_yekub,None,None,None,None,41234,None,None,None,4,0,예쿱 카드,500,340,8,316,0.0,0.0,TTTT,4,5,1.0
644059,card_yonazolem,[슬롯 장착 효과] 신성 속성 저항력 +[★*10],icon_item_card_def,055_boss_yonazolem,[642014],None,None,None,41211,None,None,None,1,4,요나졸렘 카드,500,410,2,3170,0.0,0.0,TTTT,4,1,1.0
644061,card_werewolf,[슬롯 장착 효과] 공격 시 [★]% 확률로 후방 공격 판정,icon_item_card_util,070_boss_werewolf,None,None,None,None,41247,None,None,None,0,0,웨어울프 카드,500,378,2,982,0.0,0.0,TTTT,4,5,1.0
644062,card_unicorn,[슬롯 장착 효과] 어둠 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,050_unicorn,None,None,None,None,800051,None,None,None,0,1,유니콘 카드,500,329,4,460,0.0,0.0,TTTT,4,0,1.0
644063,card_Iltiswort,[슬롯 장착 효과] 식물형 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,017_boss_iltiswort,[642013],None,None,None,41214,None,None,None,7,5,일티스워트 카드,500,308,1,512,0.0,0.0,TTTT,4,0,1.0
644064,card_GiantWoodGoblin_red,[슬롯 장착 효과] 천 갑옷 대상에게 주는 대미지[★/2]% 증가,icon_item_card_atk,062_boss_giantwoodgoblin_red,None,None,None,None,41215,None,None,None,2,5,자이언트 레드 우드 카드,500,551,2,1429,0.0,0.0,TTTT,4,0,1.0
644065,card_GiantWoodGoblin,[슬롯 장착 효과] 스턴 상태 이상에 걸린 대상에게 주는 대미지[★]% 증가,icon_item_card_atk,061_boss_giantwoodgoblin,None,None,None,None,41386,None,None,None,7,5,자이언트 우드 고블린 카드,500,552,2,1428,0.0,0.0,TTTT,4,0,1.0
644067,card_Chapparition,[슬롯 장착 효과] SP 포션 종류 사용 시 6초간 마법 대미지 +[★]%,icon_item_card_atk,068_boss_chapparition,[642011],None,None,None,800011,None,"[13026, 13028, 30122, 33029]",None,0,1,채퍼리션 카드,500,254,1,108,0.0,0.0,TTTT,4,0,1.0
644068,card_chafer,[슬롯 장착 효과] 곤충형 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,023_boss_chafer,[642012],None,None,None,800052,None,None,None,7,2,체이퍼 카드,500,235,2,217,0.0,0.0,TTTT,4,0,1.0
644070,card_Carapace,[슬롯 장착 효과] 얼음 속성 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,098_boss_carapace,None,None,None,None,800053,None,None,None,4,2,캐러페이스 카드,500,240,6,338,0.0,0.0,TTTT,4,5,1.0
644072,card_onion_the_great,[슬롯 장착 효과] 대형 몬스터에게 주는 대미지[★/2]% 증가,icon_item_card_atk,058_boss_onion_the_great,None,None,None,None,41201,None,None,None,0,4,케파치프틴 카드,500,465,2,680,0.0,0.0,TTTT,4,0,1.0
644073,card_Colimencia,[슬롯 장착 효과] 독 속성 저항력 +[★*10],icon_item_card_def,101_boss_colimencia,None,None,None,None,47318,None,None,None,4,5,콜리멘시아 카드,500,340,6,386,0.0,0.0,TTTT,4,1,1.0
644074,card_Clymen,[슬롯 장착 효과] 독 속성 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,117_boss_clymen,None,None,None,None,47316,None,None,None,7,5,클라이멘 카드,500,364,2,314,0.0,0.0,TTTT,4,0,1.0
644075,card_Kimeleech,[슬롯 장착 효과] 블록 관통 +[★ * 1.5],icon_item_card_util,048_boss_kimeleech,None,None,None,None,800054,None,None,None,7,2,키르멜리치 카드,500,246,14,780,0.0,0.0,TTTT,4,5,1.0
644076,card_tutu,[슬롯 장착 효과] 휴대 가능무게 +[★]%,icon_item_card_util,076_boss_tutu,None,None,None,None,57161,None,None,None,7,0,투투 카드,500,230,4,1168,0.0,0.0,TTTT,4,5,1.0
644077,card_TombLord,[슬롯 장착 효과] 보스 몬스터에게 주는 대미지[★/2]% 증가,icon_item_card_atk,034_boss_tomblord,None,None,None,None,800055,None,None,None,0,1,툼로드 카드,500,201,2,180,0.0,0.0,TTTT,4,0,1.0
644078,card_poata,[슬롯 장착 효과] HP 회복력 +[★ * 30],icon_item_card_util,001_boss_poata,None,None,None,None,41202,None,None,None,7,0,포아타 카드,500,310,2,427,0.0,0.0,TTTT,4,5,1.0
644079,card_Sequoia_blue,"[슬롯 장착 효과] 물리 방어력 +[★*5], 마법 방어력 +[★*5]",icon_item_card_def,015_boss_sequoia,None,None,None,None,401661,None,None,None,2,5,세콰이아 카드,500,356,2,866,0.0,0.0,TTTT,4,1,1.0
644080,card_Harpeia,[슬롯 장착 효과] 전기 속성 몬스터 처치 시 [★]% 확률로 SP 5% 회복,icon_item_card_util,107_boss_harpeia,None,"[642905, 642921]",None,None,800012,None,None,None,5,1,하르피아 카드,500,230,2,197,0.0,0.0,TTTT,4,5,1.0
644081,card_honeypin,[슬롯 장착 효과] 독 속성 추가 대미지 +[★*10],icon_item_card_util,047_boss_honeypin,None,None,None,None,800056,None,None,None,7,2,허니핀 카드,500,218,6,240,0.0,0.0,TTTT,4,5,1.0
644082,card_helgasercle,[슬롯 장착 효과] 마법 공격력 +[★*5],icon_item_card_atk,053_boss_helgasercle,None,None,None,None,800057,None,None,None,0,1,헬가 세르클 카드,500,298,1,142,0.0,0.0,TTTT,4,0,1.0
644083,card_Spector_F,[슬롯 장착 효과] 최대 SP +[★ * 30],icon_item_card_util,009_boss_spector_f,None,None,None,None,800080,None,None,None,0,1,현혹의 스펙터 카드,500,162,1,45,0.0,0.0,TTTT,4,5,1.0
644084,card_hydra,[슬롯 장착 효과] 결빙 상태 이상에 걸린 대상에게 주는 대미지[★]% 증가,icon_item_card_atk,099_boss_hydra,None,None,None,None,47313,None,None,None,4,4,히드라 카드,500,353,4,1624,0.0,0.0,TTTT,4,0,1.0
644085,card_rajapearl,[슬롯 장착 효과] 공격 시 [★/3]% 확률로 상대방에게 6초간 출혈 상태,icon_item_card_util,078_boss_rajapearl,None,None,None,None,41243,None,None,None,4,0,라자펄 카드,500,160,1,908,0.0,0.0,TTTT,4,5,1.0
644087,card_fallen_statue,[슬롯 장착 효과] 고정형 몬스터에게 주는 대미지[★]% 증가,icon_item_card_atk,013_boss_fallen_statue,None,None,None,None,800071,None,None,None,0,1,코럽티드 카드,500,213,2,240,0.0,0.0,TTTT,4,0,1.0
644088,card_lepus,[슬롯 장착 효과] 한손 무기 착용 시 공격 속도 +[★],icon_item_card_util,084_boss_lepus,None,None,None,None,41216,None,None,None,1,0,레푸스 카드,500,375,2,686,0.0,0.0,TTTT,4,5,1.0
644089,card_sparnas,[슬롯 장착 효과] 미사일류 무기 착용 시 물리 공격력 +[★*7],icon_item_card_atk,006_boss_sparnas,None,None,None,None,41224,None,None,None,5,0,스파르나스 카드,500,185,2,206,0.0,0.0,TTTT,4,0,1.0
644092,card_Sparnanman,[슬롯 장착 효과] 어둠 속성 저항력 +[★*10],icon_item_card_def,035_boss_sparnanman,None,None,None,None,800008,None,None,None,0,1,스파나스맨 카드,500,315,2,412,0.0,0.0,TTTT,4,1,1.0
644093,card_Kerberos,[슬롯 장착 효과] 중형 대상에게 피격 시 [★]% 확률로 SP 1% 회복{nl}재사용 대기 시간 5초,icon_item_card_util,094_boss_kerberos,[642013],[642903],None,None,800028,None,None,None,2,1,켈베로스 카드,500,207,4,460,0.0,0.0,TTTT,4,5,1.0
644094,card_capria,[슬롯 장착 효과] 수면 상태이상 저항 +[★ * 2],icon_item_card_util,131_boss_capria,None,None,None,None,57210,None,None,None,7,0,카프리아 카드,500,214,2,189,0.0,0.0,TTTT,4,5,1.0
644095,card_Nepenthes,"[슬롯 장착 효과] 최대 HP +[★ * 90], 최대 SP +[★ * 15]",icon_item_card_util,135_boss_nepenthes,None,None,None,None,57015,None,None,None,1,5,네펜더스 카드,500,194,2,174,0.0,0.0,TTTT,4,5,1.0
644096,card_simorph,"[슬롯 장착 효과] 힘 스탯 +[★/2], 체력 스탯 +[★/2]",icon_item_card_stat,133_boss_simorph,None,None,None,None,57151,None,None,None,1,5,시모프 카드,500,141,2,60,0.0,0.0,TTTT,4,4,1.0
644098,card_Golem_gray,[슬롯 장착 효과] 물리 방어력 +[★*10],icon_item_card_def,134_boss_graygolem,None,None,None,None,450222,None,None,None,1,4,회색 골렘 카드,500,213,2,6193,0.0,0.0,TTTT,4,1,1.0
644099,card_Naktis,[슬롯 장착 효과] 명중 +[★ * 1.5],icon_item_card_util,066_boss_naktis,None,None,None,None,800058,None,None,None,0,1,나크티스 카드,500,344,2,128,0.0,0.0,TTTT,4,5,1.0
644100,card_RingCrawler,[슬롯 장착 효과] 정신 스탯 +[★],icon_item_card_stat,067_boss_ringcrawler,None,None,None,None,41232,None,None,None,5,4,링크롤러 카드,500,382,1,372,0.0,0.0,TTTT,4,4,1.0
644101,card_Durahan,"[슬롯 장착 효과] 전투 불능 시 [★]% 확률로 10%의 HP가 회복된 상태로 부활.{nl}(팀 배틀리그 토너먼트에서는 전투 불능 상태가 되었을 때, 바로 전투 불능이 되지 않고 10초 동안 유지 후 전투 불능 됨)",icon_item_card_util,071_durahan,None,None,None,None,800014,None,None,None,0,1,듀라한 카드,500,245,6,482,0.0,0.0,TTTT,4,5,1.0
644102,card_Riteris,[슬롯 장착 효과] 암흑 상태이상 저항 +[★ * 2],icon_item_card_util,073_riteris,None,"[642909, 642915, 642923]",None,None,800015,None,None,None,0,1,리테리스 카드,500,221,2,308,0.0,0.0,TTTT,4,5,1.0
644103,card_Nuaele,[슬롯 장착 효과] 마법 방어력 +[★]%,icon_item_card_def,074_nuaele,None,None,None,None,800016,None,None,None,0,1,누아엘레 카드,500,186,1,91,0.0,0.0,TTTT,4,1,1.0
644104,card_Neop,[슬롯 장착 효과] HP 포션 종류 효과 +[★]%,icon_item_card_util,113_neop,None,None,None,None,800059,None,None,None,7,2,네옵 카드,500,368,2,912,0.0,0.0,TTTT,4,5,1.0
644105,card_Blud,[슬롯 장착 효과] 체력 스탯 +[★],icon_item_card_stat,112_blud,None,None,None,None,800060,None,None,None,0,1,블룻 카드,500,432,4,1677,0.0,0.0,TTTT,4,4,1.0
644106,card_Glackuman,[슬롯 장착 효과] 베기류 방어력 +[★*10],icon_item_card_def,116_glackuman,None,None,None,None,800022,None,None,None,6,4,글락쿠만 카드,500,382,2,1954,0.0,0.0,TTTT,4,1,1.0
644108,card_Tetraox,[슬롯 장착 효과] 출혈 상태이상 저항 +[★ * 2],icon_item_card_util,127_tetraox,None,None,None,None,57421,None,None,None,1,0,테트라옥스 카드,500,190,4,1260,0.0,0.0,TTTT,4,5,1.0
644109,card_basilisk,[슬롯 장착 효과] 치명타 저항 +[★ * 2],icon_item_card_util,122_basilisk,None,None,None,None,800061,None,None,None,5,2,바실리스크 카드,500,220,4,784,0.0,0.0,TTTT,4,5,1.0
644110,card_gremlin,[슬롯 장착 효과] 베기류 무기 착용 시 물리 공격력 +[★*7],icon_item_card_atk,124_gremlin,None,None,None,None,58522,None,None,None,5,0,그렘린 카드,500,331,2,610,0.0,0.0,TTTT,4,0,1.0
644111,card_plokste,[슬롯 장착 효과] 물리 공격력 +[★*5],icon_item_card_atk,120_plokste,None,None,None,None,800062,None,None,None,7,2,플록스케 카드,500,224,6,484,0.0,0.0,TTTT,4,0,1.0
644112,card_Woodhoungan,"[슬롯 장착 효과] 지능 스텟 +[★/2], 체력 스탯 +[★/2] ",icon_item_card_stat,121_woodhoungan,None,None,None,None,47512,None,None,None,7,5,우드혼간 카드,500,326,1,389,0.0,0.0,TTTT,4,4,1.0
644113,card_velnewt,[슬롯 장착 효과] 소형 몬스터에게 피격 시 [★]% 확률로 HP 0.5% 회복{nl}재사용 대기 시간 15초,icon_item_card_util,125_velnewt,None,None,None,None,800063,None,None,None,1,2,벨뉴트 카드,500,222,4,404,0.0,0.0,TTTT,4,5,1.0
644114,card_Velpede,[슬롯 장착 효과] 공격 시 [★/3]% 확률로 6초간 이동속도 +4,icon_item_card_util,123_velpede,None,None,None,None,800064,None,None,None,1,2,벨피드 카드,500,270,6,504,0.0,0.0,TTTT,4,5,1.0
644117,card_Pyroego,[슬롯 장착 효과] 지능 스텟 +[★] ,icon_item_card_stat,057_boss_pyroego,None,None,None,None,800065,None,None,None,2,1,파이로에고 카드,500,391,1,100,0.0,0.0,TTTT,4,4,1.0
644118,card_Mandala,[슬롯 장착 효과] 넉다운 중인 대상에게 주는 대미지[★]% 증가,icon_item_card_atk,065_mandala,None,None,None,None,57707,None,None,None,0,4,만다라 카드,500,229,2,270,0.0,0.0,TTTT,4,0,1.0
644119,card_LithoRex,[슬롯 장착 효과] 전기 속성 추가 대미지 +[★*10],icon_item_card_util,079_boss_lithorex,None,None,None,None,800017,None,None,None,5,1,리토렉스 카드,500,317,2,483,0.0,0.0,TTTT,4,5,1.0
644120,card_Nuodai,"[슬롯 장착 효과] 스턴 상태이상 저항 +[★], 수면 상태이상 저항 +[★] ",icon_item_card_util,086_nuodai,None,None,None,None,800066,None,None,None,4,1,누오다이 카드,500,330,6,480,0.0,0.0,TTTT,4,5,1.0
