$ID,$ID_NAME,Armor,Description,EXP,EXPClass,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_ATTACK_MAGICAL_MAX,Stat_ATTACK_MAGICAL_MIN,Stat_ATTACK_PHYSICAL_MAX,Stat_ATTACK_PHYSICAL_MIN,Stat_Accuracy,Stat_BlockPenetration,Stat_BlockRate,Stat_CON,Stat_CriticalDamage,Stat_CriticalDefense,Stat_CriticalRate,Stat_DEFENSE_MAGICAL,Stat_DEFENSE_PHYSICAL,Stat_DEX,Stat_Evasion,Stat_HP,Stat_INT,Stat_SP,Stat_SPR,Stat_STR,Type
100002,ET_necrovanter_minimal,2,"다른 망령들을 지배하고, 복종하지 않은 약한 망령의 힘을 빼앗아 더 큰 힘을 모으려는 성향이 있습니다. ",0,0,0,boss_necrovanter,280,None,None,테라 네크로벤터,1,1,2,13480,7258,6505,3502,280,280,0,85,464,224,336,10889,7259,57,280,2229438,199,4092,171,57,0
1000020,item_summon_boss_chafer,3,"어차피 인간에게는 무관한 일이지만, 자신 외에 다른 곤충형을 좋아하지 않으며 특히 벌종류의 몬스터들을 싫어합니다.",0,0,7,boss_chafer,330,None,None,체이퍼,2,0,3,12722,5452,13508,5789,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000021,item_summon_boss_onion_the_great,3,"왜 어떤 케파들이 이렇게 변형이 되는지 연구가 행해지고 있습니다. 게중에는 먹을 수 있도록 하는 연구도 포함되지만, 성과는 기대하기 어렵습니다.",0,0,0,m_boss_onion_the_great,330,None,None,케파치프틴,1,0,3,13611,9074,6361,4240,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000022,item_summon_boss_hydra,3,"히드라는 신수의 날 이전에는 인간과 조우하는 일이 드물지만, 마주치면 감당하기 어려웠습니다. 다만 현재는 불사의 속성이 사라져서 능력이 있다면 죽일 수 있습니다.",0,0,4,boss_hydra,330,None,None,히드라,4,0,3,7507,5005,7719,5146,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000023,item_summon_boss_Rajapearl,3,이 종류의 몬스터가 신수의 날 이후 변형되어 활동 공간을 바다에서 육지로 옮긴 것인지 마계의 생물이 넘어온 것인지는 확실하지 않습니다. 일단 유라테 여신께서는 이들에 대해 관심을 보이지 않고 있습니다.,0,0,4,boss_rajapearl,330,None,None,라자펄,0,0,3,7421,3180,15485,6636,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000024,item_summon_boss_fallen_statue,3,여신의 신성이 떠난 지 오래 된 신상에 마족이 스며들어 생깁니다.,0,0,0,boss_fallen_statue,330,None,None,코럽티드,1,0,3,13611,9074,6361,4240,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000025,item_summon_boss_sparnas,3,새라서 그런지 모이에 잘 유혹당합니다. 마족은 이를 이용해 인간을 괴롭히도록 유인하기도 합니다.,0,0,5,boss_sparnas,330,None,None,스파르나스,0,0,3,6891,3710,14379,7742,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000026,item_summon_boss_Sparnanman,4,이름은 비슷하지만 다른 조류가 변한 몬스터와는 아무 상관이 없습니다.,0,0,0,boss_sparnanman,330,None,None,스파나스맨,1,0,3,11735,6319,5270,2838,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000027,item_summon_boss_capria,3,판토족이 인간과 척을 지게 된 이후 이전에 보지 못하던 더 강한 개체가 나오는 일은 어쩌면 마족이 배후에 있을지도 모릅니다.,0,0,7,boss_capria,330,None,None,카프리아,0,0,3,6361,4240,13273,8849,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000028,item_summon_boss_Nepenthes,1,신수의 날 이전에는 게으르고 하루의 대부분을 잠으로 보내는 덩치 큰 몬스터로 크게 위험하지 않았습니다.,0,0,1,boss_nepenthes,330,None,None,네펜더스,5,0,3,7247,4831,7771,5181,1113,556,0,201,695,928,309,8674,8674,100,0,10668274,100,3504,100,167,0
1000029,item_summon_boss_Naktis,2,나크티스에게는 세 명의 자매 마군주가 있으며 이들은 모두 마왕 제스티와 밀접한 관계에 있습니다.,0,0,0,boss_naktis,330,None,None,나크티스,1,0,3,11735,6319,5270,2838,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
100003,ET_Spector_m_minimal,2,마족의 영향을 받은 유령은 다양한 형태의 외모와 색상을 지니고 나타납니다. ,0,0,0,boss_spector_m,280,None,None,테라 스펙터 군주,1,1,2,13480,7258,6505,3502,280,280,0,85,464,224,336,10889,7259,57,280,2229438,199,4092,171,57,0
1000030,item_summon_boss_Neop,3,네옵은 최근에 라이마의 계획을 방해하는 변수로 삼기 위해 길티네가 마군주로 승격시켰습니다. 때문에 그는 공을 세우기 위한 노력을 게을리 하지 않고 있습니다.,0,0,7,boss_neop,330,None,None,네옵,2,0,3,11814,6361,12543,6754,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000031,item_summon_boss_Teraox,3,하급의 몬스터가 어떤 계기로 강한 몬스터가 되었을 때 여전히 그것들을 약하다고 오해하는 사람들이 있습니다. 그러나 현재의 상황변화에 충분히 주의를 기울이지 않으면 이런 몬스터는 언제든 큰 재앙이 될 수 있습니다.,0,0,1,boss_teraox,330,None,None,테트라옥스,0,0,3,6361,4240,13273,8849,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000032,item_summon_boss_Basilisk,1,먼 옛날부터 인간 사회에 두려움을 주던 몬스터입니다. 록소나가 석화도시로 변하자 그곳에 바실리스크 무리가 있다는 소문이 돌았던 적도 있습니다.,0,0,5,boss_basilisk,330,None,None,바실리스크,2,0,3,9730,4170,10516,4506,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000033,item_summon_boss_Gremlin,3,하급의 몬스터가 어떤 계기로 강한 몬스터가 되었을 때 여전히 그것들을 약하다고 오해하는 사람들이 있습니다. 그러나 현재의 상황변화에 충분히 주의를 기울이지 않으면 이런 몬스터는 언제든 큰 재앙이 될 수 있습니다.,0,0,5,boss_gremlin,330,None,None,그렘린,0,0,3,7421,3180,15485,6636,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000034,item_summon_boss_velnewt,1,벨뉴트는 마계에서는 무리지어 사냥을 한다고 합니다. 그러나 우리 세상에서는 혼자서도 충분히 강하다고 생각하는지 단독으로 행동합니다.,0,0,1,boss_velnewt,330,None,None,벨뉴트,2,0,3,9035,4865,9765,5258,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000035,item_summon_boss_velpede,1,마계에는 이 종류의 몬스터가 많으며 그 가운데 강한 것을 선별해 마군주가 우리 세계에 풀어놓는다고 합니다.,0,0,1,boss_velpede,330,None,None,벨피드,2,0,3,9035,4865,9765,5258,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000036,item_summon_boss_Pyroego,2,신수의 날 이후에 많은 정령의 강자들이 마족과 손을 잡게 된 것은 안타까운 일입니다. 지금이라도 정책적이고 전술적인 교섭이 필요ㅗ하다는 주장이 대두되고 있습니다.,0,0,2,boss_pyroego,330,None,None,파이로에고,1,0,3,10832,7221,4865,3243,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000037,item_summon_boss_Lithorex,2,제미나 여신의 은혜를 저버린 이 거만한 몬스터는 그 존재 자체로 신성모독입니다.,0,0,5,boss_lithorex,330,None,None,리토렉스,1,0,3,10832,7221,4865,3243,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000038,item_summon_boss_nuodai,3,이 잔혹한 꽃의 군주는 동식물을 가리지 않고 자신의 영역으로 삼은 곳의 모든 생명을 지배하려 합니다.,0,0,4,boss_nuodai,330,None,None,누오다이,1,0,3,15880,6805,7421,3180,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000039,item_summon_boss_Frogola,2,하급의 몬스터가 어떤 계기로 강한 몬스터가 되었을 때 여전히 그것들을 약하다고 오해하는 사람들이 있습니다. 그러나 현재의 상황변화에 충분히 주의를 기울이지 않으면 이런 몬스터는 언제든 큰 재앙이 될 수 있습니다.,0,0,4,boss_frogola,330,None,None,프로골라,1,0,3,12638,5416,5676,2432,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
100004,ET_Glackuman_minimal,4,모든 세계에 이름을 떨치는 투사를 꿈꾸는 글락쿠만은 싸움이 있는 곳에 파견되기만 하면 만족합니다. ,0,0,1,boss_glackuman,280,None,None,테라 글락쿠만,4,1,2,7610,4097,7789,4194,280,392,0,185,562,280,280,12440,12440,85,280,2085391,85,3156,99,114,0
1000040,item_summon_boss_Marionette,4,마리오네트는 어쩐지 익숙함에서 오는 공포감을 선사하는 몬스터입니다.,0,0,0,boss_marionette,330,None,None,마리오네트,1,0,3,11735,6319,5270,2838,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000041,item_summon_boss_Crabil,4,온갖 동식물의 변형이 이루어져 몬스터가 된 현재의 세계에서 이 정도의 변화는 이제 평범하기까지 합니다.,0,0,1,boss_crabil,330,None,None,크래빌,0,0,3,5270,2838,11369,6122,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000042,item_summon_boss_Genmagnus,2,"많은 요정과 정령들이 인간과 여신이 아닌 마족의 편에 섰으며, 그렇지 않은 소수는 숨어서 관망중입니다. 지니 역시 이러한 흐름에서 벗어나지 않습니다.",0,0,4,boss_genmagnus,330,None,None,마스터 지니,1,0,3,11735,6319,5270,2838,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000043,item_summon_boss_merregina,1,"머레지나는 여전히 유라테 여신의 관할 아래 있지만, 여신께서 인간의 일에 개입하지 않으시기 때문에 독단적으로 행동합니다.",0,0,4,boss_merregina,330,None,None,머레지나,1,0,3,10832,7221,4865,3243,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000044,item_summon_boss_Grinender,1,"실제 전투에 도움이 안 되는 정보이긴 하지만, 이 몬스터는 마족과의 싸움에서는 매우 약하다는 취약점이 있습니다.",0,0,2,boss_grinender,330,None,None,그라이넨더,4,0,3,6764,2898,7010,3004,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000045,item_summon_boss_GazingGolem,4,마왕 바이가가 애용하는 마계의 몬스터입니다. 바이가는 이렇게 세상 곳곳의 사정을 그에게 전달하는 기능을 지닌 몬스터를 좋아합니다.,0,0,0,boss_gazing_golem,330,None,None,게이징 골렘,4,0,3,6280,3382,6510,3505,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000046,item_summon_boss_Gorgon,3,"마족들은 신수의 날에 몬스터로 변한 생물 가운데 강력한 종류를 통제하여 부리고 있습니다. 고르곤은 신수의 날 이전에도 존재했지만, 지금의 형태와 습성은 과거와 다릅니다.",0,0,0,m_boss_gorgon,330,None,None,고르곤,1,0,3,15880,6805,7421,3180,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000047,item_summon_boss_Glackuman,4,모든 세계에 이름을 떨치는 투사를 꿈꾸는 글락쿠만은 싸움이 있는 곳에 파견되기만 하면 만족합니다.,0,0,6,boss_glackuman,330,None,None,글락쿠만,4,0,3,5797,3865,6009,4006,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000048,item_summon_boss_Glass_mole,3,마군주 렉시퍼가 왕릉에 침입하기 위해 변형시킨 몬스터가 그 시작점이란 말이 있습니다.,0,0,4,boss_glass_mole,330,None,None,글래스몰,0,0,3,6891,3710,14379,7742,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000049,item_summon_boss_NetherBovine,3,네더보바인은 마계를 기원으로 하는 몬스터입니다. 지능이 있는 마족이 아니라 마족이 사육하는 마계의 야수입니다.,0,0,0,boss_netherbovine,330,None,None,네더보바인,0,0,3,6361,4240,13273,8849,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
100005,ET_Canceril_minimal,4,온갖 동식물의 변형이 이루어져 몬스터가 된 현재의 세계에서 캔서릴 정도의 변화는 이제 평범하기까지 합니다. ,0,0,4,boss_canceril,280,None,None,테라 캔서릴,0,1,2,6505,3502,13235,7126,280,280,280,114,860,224,336,7376,11064,171,280,2339799,57,2610,57,171,0
1000050,item_summon_boss_necrovanter,2,"다른 망령들을 지배하고, 복종하지 않은 약한 망령의 힘을 빼앗아 더 큰 힘을 모으려는 성향이 있습니다.",0,0,0,boss_necrovanter,330,None,None,네크로벤터,1,0,3,11735,6319,5270,2838,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000051,item_summon_boss_Nuaelle,1,누아엘레는 마군주 가운데 지위가 낮은 편에 속합니다. 그러나 의외로 따르는 마족들이 많기에 다른 마군주들도 가벼이 여기지 않습니다.,0,0,0,boss_nuaelle,330,None,None,누아엘레,1,0,3,13540,4513,6081,2027,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000052,item_summon_boss_deadbone,4,"죽음에서 되돌아온 몬스터라고 하지만, 정확하게 말하면 죽음을 거쳐 다시 마족으로 태어난 몬스터입니다.",0,0,0,m_boss_deadbone,330,None,None,데드본,4,0,3,5797,3865,6009,4006,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000053,item_summon_boss_Devilglove,4,아직은 정체가 알려지지 않은 고대 마신의 물품이라는 전설이 있습니다. 그 전설에 따르면 심지어 길티네도 그와는 다투고 싶어하지 않는다고 합니다.,0,0,0,boss_devilglove,330,None,None,데블글로브,4,0,3,6280,3382,6510,3505,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000054,item_summon_boss_Deathweaver,4,데스위버가 인간에게 알려진 역사는 무척 오래되었으며 많은 전사와 마법사들이 이 몬스터가 자아내는 죽음의 그물에 걸려 죽었습니다.,0,0,0,boss_deathweaver,330,None,None,데스위버,1,0,3,10832,7221,4865,3243,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000055,item_summon_boss_Denoptic,3,마왕 바이가가 애용하는 마계의 몬스터입니다. 바이가는 이렇게 세상 곳곳의 사정을 그에게 전달하는 기능을 지닌 몬스터를 좋아합니다.,0,0,7,m_boss_denoptic,330,None,None,덴옵틱,4,0,3,8759,3753,9005,3859,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000056,item_summon_boss_durahan,2,"듀라한은 이전부터 인간 세상에 알려진 유령의 일종이었고, 그 중에는 원한과 무관한 사람에게는 피해를 주지 않는 종류도 있었습니다. 그러나 알다시피 신수의 날은 그런 모든 것을 바꿔놓았습니다.",0,0,0,boss_durahan,330,None,None,듀라한,1,0,3,12638,5416,5676,2432,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000057,item_summon_boss_Rocktortuga,4,락토르투가가 처음에 출현했을 때 그 견고함 때문에 병사들이 퇴치에 어려움을 겪었습니다. 시간이 지나면서 신체구조상의 약점이 알려지긴 했으나 그 약점에 대한 공략도 그리 쉽지는 않습니다.,0,0,1,m_boss_rocktortuga,330,None,None,락토르투가,4,0,3,6280,3382,6510,3505,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000058,item_summon_boss_lepus,3,"이들은 한때는 인간에게 친숙한 동물이었지만, 지금은 곰보다 위험한 생물이며, 마족만큼 사악합니다.",0,0,1,boss_lepus,330,None,None,레푸스,0,0,3,6891,3710,14379,7742,618,618,0,134,1062,495,742,6624,9936,201,330,8038072,67,3075,67,201,0
1000059,item_summon_boss_lecifer,2,렉시퍼는 모든 마군주 가운데 가장 총명하다고 알려졌습니다. 그가 더 큰 활약을 하지 못하는 것은 마왕 제스티가 그를 적재적소에 활용하지 못하기 때문입니다. 인간으로서는 다행한 일이라 하겠습니다.,0,0,0,boss_lecifer,330,None,None,렉시퍼,1,0,3,12638,5416,5676,2432,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
100006,ET_Silva_griffin_minimal,1,아주 오래 전에는 인간이 길들여 탑승하던 시절도 있었다고 합니다. ,0,0,7,boss_silva_griffin,280,None,None,테라 실바그리핀,0,1,2,6004,4003,12217,8144,280,280,0,114,860,224,336,7376,11064,171,280,2339799,57,2610,57,171,0
1000060,item_summon_boss_Reaverpede,3,일단 상대를 제압하는데 성공하며 마취시키고 천천히 체액을 빠는 특징이 있습니다. 몸집이 커진 후로는 크기가 작은 상대는 먹이보다는 공격성을 해소하는 용도로 대합니다.,0,0,7,boss_reaverpede,330,None,None,리버피드,2,0,3,12722,5452,13508,5789,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000061,item_summon_boss_Riteris,2,리테리스는 과거에 인간 그중에서도 마스터의 일원이었다는 전설이 있습니다. 마법사 계열이 아니었던 마스터 가운데 몇몇이 불멸을 위해 마족과 계약하고 그후에 자신과 비슷한 사람들을 더 찾아내 마계로 이끈다고 합니다.,0,0,0,boss_riteris,330,None,None,리테리스,1,0,3,12638,5416,5676,2432,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000062,item_summon_boss_RingCrawler,4,링크롤러가 어떤 마법 작용으로 움직이는지는 대강 그 원리가 밝혀졌습니다. 정말 신기한 일은 그것이 누군가에 의해 고안된 것이 아니라 신수의 날 즈음하여 저절로 발생한 것이란 사실입니다.,0,0,5,boss_ringcrawler,330,None,None,링크롤러,4,0,3,5797,3865,6009,4006,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000063,item_summon_boss_Marnoks,3,마왕 제스티가 제대로 역할을 못한다고 생각한 길티네는 최근 다수의 마군주들을 추가로 파견하여 성과를 바라고 있습니다. 마르녹스는 그렇게 최근 투입된 대표적인 마군주입니다.,0,0,1,boss_marnoks,330,None,None,마르녹스,1,0,3,13611,9074,6361,4240,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000064,item_summon_boss_mineloader,4,신수의 날 이후 변화되어 몬스터가 된 것인지 마군주가 특정한 의식을 거쳐 몬스터로 만들었는지 확실하지 않습니다. 아무튼 전에는 유용한 장비였습니다.,0,0,5,boss_mineloader,330,None,None,마인로더,4,0,3,6280,3382,6510,3505,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000065,item_summon_boss_Mandara,4,그의 강한 팔은 무려 네 개나 있습니다. 조심하지 않으면 큰 피해를 입습니다.,0,0,0,boss_mandara,330,None,None,만다라,4,0,3,6280,3382,6510,3505,618,866,0,217,695,618,618,11376,11376,100,330,7258086,100,3725,117,134,0
1000066,item_summon_boss_Manticen,3,마족은 맨티켄에게 강한 힘을 부여하여 다른 곤충형을 지휘하게 하려는 의도를 지니고 있습니다.,0,0,7,boss_manticen,330,None,None,맨티켄,2,0,3,11814,6361,12543,6754,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000067,item_summon_boss_Mummyghast,4,이론상 이 몬스터는 듀라한과 생성 원리가 흡사합니다. 다만 결합된 대상이 갑옷이 아닙니다.,0,0,0,boss_mummyghast,330,None,None,머미가스트,1,0,3,12638,5416,5676,2432,618,618,0,100,563,495,742,9713,6475,67,330,7623000,234,4817,201,67,0
1000068,item_summon_boss_Merge,3,마족이 온갖 개체를 합쳐서 변형시킨 이 몬스터는 그럼에도 마족에게 충성을 보이고 있습니다.,0,0,4,id_boss_merge,330,None,None,머지,2,0,3,12722,5452,13508,5789,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
1000069,item_summon_boss_Mothstem,1,성체로서 몬스터로 변한 개체가 많지 않은 일은 다행이면서도 이해하기 어려운 현상이기도 합니다.,0,0,5,boss_mothstem,330,None,None,모스템,2,0,3,8340,5560,9013,6009,433,742,0,134,1177,433,804,7452,7452,234,461,6430457,67,3504,100,134,0
